timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771324129.396,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.398,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.398,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.428,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.462,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.597,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.632,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.666,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.667,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.732,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.835,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.869,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.970,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.004,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.139,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.377,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.410,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.511,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.578,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.645,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.714,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.747,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.748,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.882,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.985,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324130.987,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.019,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.053,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.054,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.154,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.221,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.255,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.257,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.425,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.459,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.526,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.592,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.627,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.728,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.796,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324131.931,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.031,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.102,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.135,unsolicited,0,0,,C0|00|04|00|00|00|03
1771324132.203,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.271,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.339,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.406,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.576,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.678,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.711,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.778,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.813,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.911,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324132.979,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.082,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.116,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.116,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.150,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.217,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.252,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.353,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.386,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.387,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.454,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.555,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.556,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.589,unsolicited,0,0,,C0|00|04|00|00|00|03
1771324133.690,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.692,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324133.962,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.030,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.098,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.099,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.132,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.133,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.201,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.268,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.336,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.436,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.504,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.538,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.539,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.571,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.573,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.604,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.737,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324134.873,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.110,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.283,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.317,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.451,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.452,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.453,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.453,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.485,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.554,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.622,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.622,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.689,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.791,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.826,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.961,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324135.962,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.194,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.228,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.295,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.396,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.397,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.429,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.431,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.496,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.563,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.731,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.867,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.868,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.901,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324136.902,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.104,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.138,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.173,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.207,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.240,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.241,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.342,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.713,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.849,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.881,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324137.916,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.017,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.186,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.187,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.287,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.288,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.289,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.320,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.353,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.386,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.387,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.419,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324138.656,unsolicited,0,0,,C0|00|08|00|00|00|07
